--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|Bulbasaur |GRASS/POISON     |  59|  57|  36|  79|  19|  69|FORECAST    |LIQUID OOZE |LUM BERRY (rare)
  2|Ivysaur   |GRASS/POISON     |  27|  23|  88| 106|  53| 108|POISON POINT|-------     |DIRE HIT (100%)
  3|Venusaur  |GRASS/POISON     |  25| 103| 119|  86| 133|  59|DAMP        |-------     |STAR PIECE (100%)
  4|Charmander|FIRE             |  29|  65|  31|  47|  95|  41|HUSTLE      |GUTS        |TM50 (common)
  5|Charmeleon|FIRE             |  65|  85|  33|  69|  87|  66|SUCTION CUPS|-------     |
  6|Charizard |FIRE/FLYING      |  28|  36| 149|  66| 130| 125|LIGHTNINGROD|-------     |
  7|Squirtle  |WATER            |  57|  47|  58|  52|  21|  79|SYNCHRONIZE |EFFECT SPORE|ESCAPE ROPE (common)
  8|Wartortle |WATER            |  92| 107|  32|  34| 102|  38|LIMBER      |-------     |
  9|Blastoise |WATER            |  43| 104| 120|  76| 103|  84|WHITE SMOKE |SWIFT SWIM  |
 10|Caterpie  |BUG              |  51|  38|  18|  14|  23|  51|MARVEL SCALE|FLASH FIRE  |ENERGYPOWDER (common)
 11|Metapod   |BUG              |  40|  23|  52|  48|  26|  16|HYPER CUTTER|-------     |TM50 (100%)
 12|Butterfree|BUG/FLYING       |  67|  97|  19|  42| 111|  49|TRACE       |DROUGHT     |NEVERMELTICE (100%)
 13|Weedle    |BUG/POISON       |  42|  11|  23|  41|  65|  13|SOUNDPROOF  |LEVITATE    |
 14|Kakuna    |BUG/POISON       |  35|  18|  44|  47|  22|  39|SHED SKIN   |SHADOW TAG  |
 15|Beedrill  |BUG/POISON       |  26|  70|  96|  47|  69|  78|SYNCHRONIZE |-------     |TM18 (rare)
 16|Pidgey    |NORMAL/FLYING    |  55|  43|  38|  40|  30|  44|COLOR CHANGE|SHIELD DUST |TM36 (common), GUARD SPEC. (rare)
 17|Pidgeotto |NORMAL/FLYING    |  62|  51|  40|  62|  51|  84|DAMP        |-------     |
 18|Pidgeot   |NORMAL/FLYING    |  47| 129|  19|  75| 130|  69|VOLT ABSORB |FLAME BODY  |
 19|Rattata   |NORMAL           |  63|  50|  41|  41|  43|  15|PRESSURE    |HUGE POWER  |
 20|Raticate  |NORMAL           |  77|  33|  86|  30|  82| 105|SWARM       |KEEN EYE    |
 21|Spearow   |NORMAL/FLYING    |  36|  74|  14|  12|  78|  49|AIR LOCK    |COLOR CHANGE|
 22|Fearow    |NORMAL/FLYING    |  30|  71|  97|  92| 107|  45|BLAZE       |-------     |
 23|Ekans     |POISON           |  79|  65|  34|  21|  49|  38|SHIELD DUST |ARENA TRAP  |LEMONADE (common)
 24|Arbok     |POISON           |  65|  88| 103|  22| 108|  53|WATER ABSORB|-------     |BIG MUSHROOM (common)
 25|Pikachu   |ELECTRIC         |  48|  45|  53|  53|  33|  68|CLOUD NINE  |SHELL ARMOR |
 26|Raichu    |ELECTRIC         | 132|  39|  57|  91|  85|  72|SOUNDPROOF  |-------     |SMOKE BALL (common), TM20 (rare)
 27|Sandshrew |GROUND           |  53|  42|  68|  61|  45|  32|HUGE POWER  |HUSTLE      |
 28|Sandslash |GROUND           |  48|  26| 144| 160|  39|  32|WATER ABSORB|FORECAST    |TM02 (rare)
