--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|Bulbasaur |GRASS/POISON     |  30|  34|  75|  79|  49|  52|CAMBIO COLOR|(?)         |CEN. SAGRADA (common), MT47 (rare)
  2|Ivysaur   |GRASS/POISON     |  33| 120| 103|  72|  44|  33|CHORRO ARENA|PIEL TOSCA  |
  3|Venusaur  |GRASS/POISON     | 123|  56| 104|  94|  19| 129|MUDAR       |(?)         |
  4|Charmander|FIRE             |  35|  21|  97|  70|  51|  35|SINCRONÍA   |(?)         |ZUMO DE BAYA (common), GAFAS DE SOL (rare)
  5|Charmeleon|FIRE             |  24|  96|  83|  74|  89|  40|TRAMPA ARENA|(?)         |HIERBA REV. (common), MEJORA (rare)
  6|Charizard |FIRE/FLYING      |  49|  33| 177| 102|  96|  78|INSONORIZAR |(?)         |COLMILLODRAG (100%)
  7|Squirtle  |WATER            |  51|  50|  59|  22|  63|  68|ENTUSIASMO  |SEBO        |MT09 (rare)
  8|Wartortle |WATER            |  93|  70|  29|  51|  86|  74|SINCRONÍA   |(?)         |PROTEC. ESP. (common), MT23 (rare)
  9|Blastoise |WATER            |  66| 110|  20| 100|  31| 202|ILUMINACIÓN |(?)         |
 10|Caterpie  |BUG              |  54|  17|  32|  41|  15|  37|LLOVIZNA    |(?)         |
 11|Metapod   |BUG              |  25|  44|  28|  52|  14|  41|DESPISTE    |(?)         |MT22 (rare)
 12|Butterfree|BUG/FLYING       |  26|  16| 104|  48|  99|  91|ABSOR. AGUA |(?)         |
 13|Weedle    |BUG/POISON       |  34|  28|  14|  42|  24|  53|AGALLAS     |(?)         |REV.METÁLICO (common), HIERBA REV. (rare)
 14|Kakuna    |BUG/POISON       |  48|  32|  37|  41|  33|  14|OJOCOMPUESTO|(?)         |PARTE VERDE (rare)
 15|Beedrill  |BUG/POISON       |  74|  63|  82|  39|  53|  74|TORRENTE    |(?)         |FL. BLANCA (common)
 16|Pidgey    |NORMAL/FLYING    |  35|  38|  59|  42|  29|  49|AUSENTE     |(?)         |
 17|Pidgeotto |NORMAL/FLYING    |  25|  27| 103|  57|  26| 110|ENJAMBRE    |(?)         |MINI SETA (rare)
 18|Pidgeot   |NORMAL/FLYING    |  34|  60| 138| 135|  59|  43|ESCUDO MAGMA|ABSOR. ELEC.|MT45 (common)
 19|Rattata   |NORMAL           |  40|  58|  15|  57|  49|  34|IMPULSO     |(?)         |
 20|Raticate  |NORMAL           |  59|  96|  94|  24|  34| 105|HEDOR       |(?)         |
 21|Spearow   |NORMAL/FLYING    |  43|  15|  64|  33|  61|  46|PARARRAYOS  |FLEXIBILIDAD|ANTIDERRETIR (rare)
 22|Fearow    |NORMAL/FLYING    |  78|  81|  57| 106|  43|  77|HEDOR       |DESPISTE    |
 23|Ekans     |POISON           |  40|  41|  94|  50|  45|  18|TORRENTE    |ESPÍR. VITAL|ULTRABALL (common)
 24|Arbok     |POISON           | 125|  17| 100|  92|  14|  89|SEBO        |MÁS         |
 25|Pikachu   |ELECTRIC         |  57|  38|  80|  20|  72|  34|DICHA       |PUNTO TÓXICO|MÁX. PP (rare)
 26|Raichu    |ELECTRIC         |  26|  86| 101| 105|  57|  99|PARARRAYOS  |MENOS       |MT47 (common), MÁX. POCIÓN (rare)
 27|Sandshrew |GROUND           |  82|  28|  35|  72|  63|  19|INSONORIZAR |INTIMIDACIÓN|DESPERTAR (common), BOLA HUMO (rare)
 28|Sandslash |GROUND           |  64|  70|  75|  45|  84| 111|TRAMPA ARENA|POLVO ESCUDO|MT36 (100%)
 29|Nidoran♀  |POISON           |  59|  45|  16|  14|  53|  88|CORTE FUERTE|IMÁN        |ATAQUE X (common)
 30|Nidorina  |POISON           |  55|  77|  82|  70|  68|  12|DICHA       |ESCAMA ESP. |ROCA DEL REY (100%)
 31|Nidoqueen |POISON/GROUND    |  72| 120|  49|  69| 107|  78|VISCOSIDAD  |SEBO        |
 32|Nidoran♂  |POISON           |  75|  29|  58|  54|  13|  44|HEDOR       |LLOVIZNA    |
 33|Nidorino  |POISON           |  60|  58|  66|  38|  66|  76|SINCRONÍA   |(?)         |
